,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
46813,1970-01-19T01:57:46.778208,7066.11320754717,9.86712683738608e-10
46814,1970-01-19T01:57:46.929151,7066.264150943396,8.925077831440678e-10
49655,1970-01-19T02:04:55.759340,7495.094339622641,9.655971661583675e-10
49661,1970-01-19T02:04:56.665000,7496.0,1.215551476294905e-09
49662,1970-01-19T02:04:56.815943,7496.150943396226,1.2270556677358175e-09
49663,1970-01-19T02:04:56.966887,7496.301886792453,1.23855985917673e-09
49664,1970-01-19T02:04:57.117830,7496.452830188679,1.2500640506176423e-09
49665,1970-01-19T02:04:57.268774,7496.603773584906,1.2615682420584855e-09
49666,1970-01-19T02:04:57.419717,7496.754716981132,1.1029023147327548e-09
49667,1970-01-19T02:04:57.570660,7496.905660377359,1.0902782230846155e-09
49668,1970-01-19T02:04:57.721604,7497.056603773585,1.2123939645163847e-09
49669,1970-01-19T02:04:57.872547,7497.207547169812,1.420006914301946e-09
49670,1970-01-19T02:04:58.023491,7497.358490566037,1.4013460925059183e-09
49671,1970-01-19T02:04:58.174434,7497.509433962264,1.382685270709891e-09
49672,1970-01-19T02:04:58.325377,7497.66037735849,1.3640244489138632e-09
49673,1970-01-19T02:04:58.476321,7497.811320754717,1.345363627117836e-09
49678,1970-01-19T02:04:59.231038,7498.566037735849,9.426836187912103e-10
49679,1970-01-19T02:04:59.381981,7498.7169811320755,1.1377754104913806e-09
49680,1970-01-19T02:04:59.532925,7498.867924528302,9.378636964699855e-10
49828,1970-01-19T02:05:21.872547,7521.207547169812,1.0994969927556712e-09
49829,1970-01-19T02:05:22.023491,7521.358490566037,1.446046674630078e-09
49830,1970-01-19T02:05:22.174434,7521.509433962264,1.4489403850354134e-09
49831,1970-01-19T02:05:22.325377,7521.66037735849,1.451834095440749e-09
49832,1970-01-19T02:05:22.476321,7521.811320754717,1.4547278058460844e-09
49833,1970-01-19T02:05:22.627264,7521.962264150943,1.45762151625142e-09
49834,1970-01-19T02:05:22.778208,7522.11320754717,1.4605152266567555e-09
49835,1970-01-19T02:05:22.929151,7522.264150943396,1.463408937062091e-09
49836,1970-01-19T02:05:23.080094,7522.415094339623,1.4663026474674267e-09
49837,1970-01-19T02:05:23.231038,7522.566037735849,1.4691963578727623e-09
49838,1970-01-19T02:05:23.381981,7522.7169811320755,1.4720900682780978e-09
49839,1970-01-19T02:05:23.532925,7522.867924528302,1.4749837786834332e-09
49840,1970-01-19T02:05:23.683868,7523.018867924528,1.477877489088769e-09
49841,1970-01-19T02:05:23.834811,7523.169811320755,1.480771199494087e-09
